time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.04,81.93090248103412,127.27207355651815,161.34708956180657,39.143174458881816,142.66352091373818,122.75945269760687,96.4919864859717,136.62146381838417,508.08217294014054,-31.903489473462614,6.303613272041105,257.0919089246977,254.32228374639107,9.534294633505244,0.09239122681043
0.041,81.95093884476903,126.50322802194368,161.90491939000407,39.40001803290966,142.45363424923755,122.60989669176318,96.35475004843687,136.60550891777658,507.4501725407746,-32.5372323586205,6.800528430987001,257.1724087769968,254.4384689265055,9.531664177162785,0.11909652469740001
0.042,81.97498866734814,125.7453790566786,162.48296836643567,39.67885260075164,142.2683963256095,122.462740729951,96.24122374337364,136.58960728139414,506.7979897788067,-33.16802291906454,7.286062933358167,257.24860579919465,254.56145112135718,9.529224277711085,0.1453046127800894
0.043,82.00311752515348,124.99902281788432,163.08107057871138,39.97916804223735,142.10780138875103,122.31763426316574,96.15160196128093,136.57390159166448,506.1259066365968,-33.795829874027376,7.759991083160486,257.32050662807615,254.69129067872115,9.526996913854262,0.17098897673487118
0.044,82.03537170660285,124.26463387303617,163.6989165537324,40.30041731213424,141.97174430083004,122.17422017912376,96.08620538317615,136.55850288466524,505.4340877644909,-34.420634406333036,8.222126292007857,257.3881830627507,254.82804535778274,9.525000237380596,0.19612897692281617
0.045,82.07177820365182,123.54266490958004,164.33606726206887,40.64202202380744,141.86004380361643,122.03214192569443,96.04548519426021,136.5434851878663,504.7225929127014,-35.04242782370663,8.672321672374906,257.4517678643955,254.97176882293746,9.523248933343503,0.22070898848851508
0.046,82.11234493033136,122.83354649373491,164.99196973853606,41.0033781333409,141.77246618970003,121.89104977544312,96.0300259335362,136.52888358328954,503.99138959978427,-35.66120918560007,9.110470570164665,257.5114500834468,255.1225090657452,9.52175469440085,0.2447172617781875
0.047,82.1570611925614,122.13768686398535,165.66597371861062,41.38386164841867,141.70874830594272,121.75060640089436,96.04054666688864,136.51469644803325,503.24036622877986,-36.27698304322263,9.53650654934063,257.56747012521913,255.2803072491813,9.520526745888896,0.2681446192156146
0.048,82.20589841216965,121.45547173492476,166.35734863614937,41.7828343308382,141.6686188658923,121.61049205131238,96.07789995734413,136.50089163098363,502.46934628423105,-36.889757381700534,9.950402396949713,257.62011460879455,255.44519734566762,9.519572385651582,0.2909831401968785
0.049,82.25881105382435,120.78726402145993,167.0653003774285,42.19964938649554,141.65181733287892,121.47040998545214,96.14306808374941,136.4874147107245,501.6781043948075,-37.49954176242581,10.352168036548619,257.6697109606925,255.61720667223335,9.518897514764662,0.31322500454730734
