time,hip_angle,knee_angle,ankle_angle,mtp_angle
s,deg,deg,deg,deg
0.276,156.8245,142.753,100.0482,148.5076
0.277,157.2266,142.3477,99.75089,147.982
0.278,157.6471,141.9571,99.47097,147.4335
0.279,158.0867,141.583,99.20933,146.8623
0.28,158.5463,141.227,98.96695,146.2685
0.281,159.0263,140.8906,98.74494,145.6521
0.282,159.5272,140.5752,98.54449,145.0129
0.283,160.0493,140.2821,98.36688,144.3506
0.284,160.5925,140.0124,98.21348,143.6649
0.285,161.1569,139.7671,98.0857,142.9555
0.286,161.7421,139.5471,97.98497,142.2218
0.287,162.3478,139.3531,97.91276,141.4635
0.288,162.9734,139.1856,97.87058,140.68
0.289,163.6182,139.0452,97.85991,139.871
0.29,164.2814,138.9321,97.88223,139.0361
0.291,164.9621,138.8464,97.93902,138.175
0.292,165.6593,138.7883,98.03172,137.2873
0.293,166.3718,138.7577,98.16173,136.373
0.294,167.0985,138.7545,98.33042,135.4322
0.295,167.8382,138.7784,98.53905,134.4648
0.296,168.5897,138.8293,98.78884,133.4714
0.297,169.3516,138.9066,99.08088,132.4524
0.298,170.1227,139.0102,99.41618,131.4087
0.299,170.9018,139.1395,99.7956,130.3412
0.3,171.6875,139.294,100.2199,129.2514
0.301,172.4787,139.4733,100.6896,128.1407
0.302,173.2741,139.6767,101.2051,127.0111
0.303,174.0726,139.9036,101.7667,125.8649
0.304,174.8728,140.1533,102.3744,124.7044
0.305,175.6738,140.4251,103.028,123.5327
0.306,176.4743,140.7182,103.7272,122.353
0.307,177.2735,141.0317,104.4714,121.1688
0.308,178.0702,141.3647,105.2597,119.984
0.309,178.8635,141.7162,106.0912,118.8031
0.31,179.6526,142.0851,106.9646,117.6306
0.311,180.4365,142.4704,107.8785,116.4715
0.312,181.2146,142.8708,108.8311,115.331
0.313,181.9859,143.285,109.8207,114.215
0.314,182.7499,143.7118,110.8451,113.1292
0.315,183.5057,144.1497,111.902,112.0798
0.316,184.2529,144.5973,112.9892,111.0735
0.317,184.9907,145.053,114.1038,110.1169
0.318,185.7186,145.5155,115.2432,109.2168
0.319,186.4361,145.983,116.4044,108.3805
0.32,187.1427,146.4541,117.5844,107.615
0.321,187.8379,146.9271,118.7799,106.9277
0.322,188.5212,147.4003,119.9877,106.3257
0.323,189.1924,147.8723,121.2044,105.8161
0.324,189.8509,148.3413,122.4266,105.4058
0.325,190.4966,148.8058,123.651,105.1014
0.326,191.1291,149.2643,124.874,104.9088
0.327,191.7481,149.7151,126.0922,104.8335
0.328,192.3534,150.1568,127.3023,104.8799
0.329,192.9449,150.5878,128.5008,105.0514
0.33,193.5223,151.0068,129.6844,105.3502
0.331,194.0856,151.4124,130.8501,105.7767
0.332,194.6346,151.8031,131.9946,106.3295
0.333,195.1693,152.1776,133.1149,107.0053
0.334,195.6896,152.5346,134.2081,107.7986
0.335,196.1955,152.8729,135.2714,108.7016
0.336,196.687,153.1912,136.3024,109.7045
0.337,197.1641,153.4884,137.2984,110.7951
0.338,197.6269,153.7632,138.2572,111.9595
0.339,198.0754,154.0146,139.1768,113.1826
0.34,198.5097,154.2415,140.0553,114.448
0.341,198.9299,154.4428,140.8911,115.739
0.342,199.336,154.6176,141.6828,117.0394
0.343,199.7281,154.765,142.4293,118.3334
0.344,200.1063,154.884,143.1297,119.6067
0.345,200.4705,154.9738,143.7836,120.8465
