485,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.149,86.55503,84.36732,110.7794,204.4858,129.2365,131.9806,118.6629,150.337,130.4252,139.3614
0.15,86.52603,84.3267,111.1765,204.2351,130.3598,130.9753,118.599,150.3552,130.4085,139.2974
0.151,86.49635,84.28868,111.5788,203.9839,131.4731,129.9694,118.5345,150.3732,130.3932,139.2341
0.152,86.46605,84.2533,111.9861,203.7325,132.5756,128.9632,118.4699,150.39,130.3788,139.1721
0.153,86.43518,84.22062,112.398,203.481,133.6667,127.9571,118.406,150.4044,130.365,139.1118
0.154,86.40382,84.19066,112.8142,203.2297,134.7457,126.9513,118.3434,150.4153,130.3512,139.0536
0.155,86.37203,84.16345,113.2344,202.9786,135.812,125.9462,118.283,150.4217,130.337,138.9979
0.156,86.33989,84.13899,113.6583,202.7278,136.8649,124.942,118.2253,150.4228,130.3222,138.945
0.157,86.30744,84.11728,114.0857,202.4774,137.9038,123.9389,118.1713,150.4177,130.3064,138.8951
0.158,86.27476,84.09831,114.5162,202.2274,138.9281,122.9371,118.1215,150.4056,130.2892,138.8486
0.159,86.2419,84.08204,114.9496,201.9778,139.9372,121.9367,118.0767,150.3859,130.2706,138.8055
0.16,86.20892,84.06844,115.3856,201.7286,140.9306,120.938,118.0375,150.358,130.2504,138.766
0.161,86.17586,84.05747,115.8239,201.4797,141.9076,119.941,118.0043,150.3214,130.2285,138.7301
0.162,86.14277,84.04905,116.2643,201.231,142.8675,118.9457,117.9777,150.2757,130.205,138.6979
0.163,86.10968,84.04312,116.7064,200.9824,143.81,117.9524,117.9581,150.2207,130.1799,138.6694
0.164,86.07662,84.0396,117.1501,200.7338,144.7342,116.9611,117.9458,150.156,130.1535,138.6444
0.165,86.04363,84.03841,117.5949,200.4849,145.6398,115.9717,117.941,150.0817,130.126,138.6229
0.166,86.01072,84.03943,118.0407,200.2356,146.5259,114.9844,117.9438,149.9977,130.0975,138.6048
0.167,85.97792,84.04258,118.487,199.9856,147.3921,113.9992,117.9542,149.904,130.0685,138.5898
0.168,85.94522,84.04774,118.9336,199.7348,148.2378,113.0161,117.9722,149.8006,130.0391,138.5779
0.169,85.91265,84.05479,119.3802,199.483,149.0623,112.0351,117.9977,149.6879,130.0097,138.5687
0.17,85.88018,84.06361,119.8265,199.2297,149.865,111.0562,118.0303,149.5659,129.9806,138.5622
0.171,85.84784,84.07406,120.272,198.9748,150.6454,110.0794,118.0699,149.435,129.952,138.5581
0.172,85.81559,84.08602,120.7164,198.718,151.4028,109.1046,118.116,149.2955,129.9243,138.5562
0.173,85.78344,84.09935,121.1595,198.459,152.1368,108.132,118.1682,149.1478,129.8976,138.5562
0.174,85.75137,84.1139,121.6008,198.1975,152.8466,107.1614,118.2262,148.9921,129.8721,138.558
0.175,85.71935,84.12954,122.04,197.9331,153.5319,106.1928,118.2893,148.829,129.8479,138.5613
0.176,85.68737,84.14613,122.4767,197.6656,154.192,105.2262,118.3572,148.6588,129.825,138.5658
